dep;week;P;T;cl_age90;pop
01;2020-S21;0;147;09;83001
01;2020-S21;2;143;19;84665
01;2020-S21;4;270;29;65496
01;2020-S21;6;354;39;85588
01;2020-S21;4;322;49;89678
01;2020-S21;0;323;59;89791
01;2020-S21;4;222;69;73500
01;2020-S21;4;223;79;51011
01;2020-S21;10;196;89;26830
01;2020-S21;7;125;90;7395
01;2020-S21;41;2325;0;656955
01;2020-S22;0;153;09;83001
01;2020-S22;2;179;19;84665
01;2020-S22;0;235;29;65496
01;2020-S22;2;269;39;85588
01;2020-S22;2;266;49;89678
01;2020-S22;1;270;59;89791
01;2020-S22;2;255;69;73500
01;2020-S22;2;245;79;51011
01;2020-S22;3;196;89;26830
01;2020-S22;5;119;90;7395
01;2020-S22;19;2187;0;656955
01;2020-S23;0;89;09;83001
01;2020-S23;0;146;19;84665
01;2020-S23;2;203;29;65496
01;2020-S23;2;194;39;85588
01;2020-S23;2;205;49;89678
01;2020-S23;0;247;59;89791
01;2020-S23;2;188;69;73500
01;2020-S23;0;166;79;51011
01;2020-S23;5;156;89;26830
01;2020-S23;5;76;90;7395
01;2020-S23;18;1670;0;656955
01;2020-S24;0;125;09;83001
01;2020-S24;3;133;19;84665
01;2020-S24;4;191;29;65496
01;2020-S24;0;216;39;85588
01;2020-S24;3;212;49;89678
01;2020-S24;1;211;59;89791
01;2020-S24;3;191;69;73500
01;2020-S24;0;168;79;51011
01;2020-S24;0;153;89;26830
01;2020-S24;1;80;90;7395
01;2020-S24;15;1680;0;656955
01;2020-S25;1;118;09;83001
01;2020-S25;1;131;19;84665
01;2020-S25;2;191;29;65496
01;2020-S25;5;196;39;85588
01;2020-S25;2;203;49;89678
01;2020-S25;1;243;59;89791
01;2020-S25;1;191;69;73500
01;2020-S25;1;200;79;51011
01;2020-S25;2;164;89;26830
01;2020-S25;2;73;90;7395
01;2020-S25;18;1710;0;656955
01;2020-S26;2;217;09;83001
01;2020-S26;6;203;19;84665
01;2020-S26;7;217;29;65496
01;2020-S26;1;274;39;85588
01;2020-S26;6;263;49;89678
01;2020-S26;6;273;59;89791
01;2020-S26;1;246;69;73500
01;2020-S26;2;215;79;51011
01;2020-S26;4;225;89;26830
01;2020-S26;1;104;90;7395
01;2020-S26;36;2237;0;656955
01;2020-S27;2;540;09;83001
01;2020-S27;4;372;19;84665
01;2020-S27;1;354;29;65496
01;2020-S27;6;429;39;85588
01;2020-S27;2;370;49;89678
01;2020-S27;2;329;59;89791
01;2020-S27;1;234;69;73500
01;2020-S27;0;233;79;51011
01;2020-S27;1;183;89;26830
